chain_key,chain_name,chain_id,is_testnet,timestamp_utc,block_number,wallet,wallet_is_contract,tx_hash,tx_to,tx_input_selector,direct_to_comet,decoded_comet_function,decoded_comet_asset_symbol,decoded_comet_asset_address,decoded_comet_amount_raw,decoded_comet_amount_formatted,market_keys,market_names,comet_addresses,event_count,event_summaries,explorer_url
mainnet,Ethereum Mainnet,1,false,2026-03-07T08:32:11.000Z,24604400,0x48fd8807c9c3eff2b7ffb512f0d9bb2b24d70072,true,0xcdddc0b1cd4901c8ba3abf84daa10534a81d242ed8474298cb364bc61766914d,0xa397a8c2086c554b531c02e29f3291c9704b00c7,0x555029a6,false,,,,,,weth,Compound WETH,0xA17581A9E3356d9A858b789D68B4d866e593aE94,1,Withdraw:WETH:0.00039999999,https://etherscan.io/tx/0xcdddc0b1cd4901c8ba3abf84daa10534a81d242ed8474298cb364bc61766914d
mainnet,Ethereum Mainnet,1,false,2026-03-07T08:33:47.000Z,24604408,0x6d1b730aa76b613ac1e52f73f0cb70c42b50331c,true,0xf28a89c925cd52aa3b6cbfadd0be1595dada9678c06ba99faafee5ec9e202840,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840,0xf3fef3a3,true,withdraw,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,15000000000,15000,usdt,Compound USDT,0x3Afdc9BCA9213A35503b077a6072F3D0d5AB0840,1,Withdraw:USDT:15000,https://etherscan.io/tx/0xf28a89c925cd52aa3b6cbfadd0be1595dada9678c06ba99faafee5ec9e202840
mainnet,Ethereum Mainnet,1,false,2026-03-07T08:35:23.000Z,24604416,0x6bceb4c9986c75f512adabe3e92ee8b02cbb4f5b,true,0xbb0bbc79790c31f4393101c82774d7bf4bb04804c9c136eaa0626316a5f2c15a,0xa397a8c2086c554b531c02e29f3291c9704b00c7,0x555029a6,false,,,,,,weth,Compound WETH,0xA17581A9E3356d9A858b789D68B4d866e593aE94,1,Supply:WETH:0.0002,https://etherscan.io/tx/0xbb0bbc79790c31f4393101c82774d7bf4bb04804c9c136eaa0626316a5f2c15a
mainnet,Ethereum Mainnet,1,false,2026-03-07T08:37:23.000Z,24604426,0x6bceb4c9986c75f512adabe3e92ee8b02cbb4f5b,true,0x339d0ff42f0913ba231e75adac3760c4b805f6156d1188dc2a3cc916f7011c8e,0xa397a8c2086c554b531c02e29f3291c9704b00c7,0x555029a6,false,,,,,,weth,Compound WETH,0xA17581A9E3356d9A858b789D68B4d866e593aE94,1,Withdraw:WETH:0.0002,https://etherscan.io/tx/0x339d0ff42f0913ba231e75adac3760c4b805f6156d1188dc2a3cc916f7011c8e
mainnet,Ethereum Mainnet,1,false,2026-03-07T08:40:11.000Z,24604440,0xe0858469d67103bfacb821075993c9983fead324,true,0x09285d85c8d918ba9828ef8e176b0e4c643e2bb6d689cab4c39498592e60a58c,0xfae9108008e7dd19a587340482e27d9acf6f8542,0x6a761202,false,,,,,,weth,Compound WETH,0xA17581A9E3356d9A858b789D68B4d866e593aE94,2,SupplyCollateral:UNKNOWN:0.0000000005|Withdraw:WETH:77,https://etherscan.io/tx/0x09285d85c8d918ba9828ef8e176b0e4c643e2bb6d689cab4c39498592e60a58c
mainnet,Ethereum Mainnet,1,false,2026-03-07T08:41:11.000Z,24604445,0xc125dfc874e1d93e9acaac6de285749ed77420d3,true,0xfd46200cbc272ca2dedb5b5596e7446017fc1264227f123cb87286acd45607ef,0xb9e62cb9b4ce8ec13c886fae67369da417ee2714,0xba087652,false,,,,,,usdc,Compound USDC,0xc3d688B66703497DAA19211EEdff47f25384cdc3,1,Withdraw:USDC:129.686144,https://etherscan.io/tx/0xfd46200cbc272ca2dedb5b5596e7446017fc1264227f123cb87286acd45607ef
mainnet,Ethereum Mainnet,1,false,2026-03-07T08:41:23.000Z,24604446,0xf56b4f8fcdacbbfe29f256691340d0b3b32feff2,true,0x8820acb861cb6c80f56b460029a588b5f75d0e8b9c02cc9c92ac6700942fa270,0xc3d688b66703497daa19211eedff47f25384cdc3,0xf2b9fdb8,true,supply,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,115792089237316195423570985008687907853269984665640564039457584007913129639935,115792089237316195423570985008687907853269984665640564039457584007913129.639935,usdc,Compound USDC,0xc3d688B66703497DAA19211EEdff47f25384cdc3,1,Supply:USDC:65529.552336,https://etherscan.io/tx/0x8820acb861cb6c80f56b460029a588b5f75d0e8b9c02cc9c92ac6700942fa270
mainnet,Ethereum Mainnet,1,false,2026-03-07T08:57:23.000Z,24604526,0xe0858469d67103bfacb821075993c9983fead324,true,0xf21258d29ed3c28ebedc0542a2567bf71b874024ac1c9baa23b8611108e3e2d1,0xfae9108008e7dd19a587340482e27d9acf6f8542,0x6a761202,false,,,,,,weth,Compound WETH,0xA17581A9E3356d9A858b789D68B4d866e593aE94,1,Supply:WETH:7.5,https://etherscan.io/tx/0xf21258d29ed3c28ebedc0542a2567bf71b874024ac1c9baa23b8611108e3e2d1
mainnet,Ethereum Mainnet,1,false,2026-03-07T09:20:47.000Z,24604643,0x4acd877b87b2dae32e266a37fa6b0609c24dfb63,true,0xd00f1e1b4f5f3670408e80ffca7fd0b09dcfff59a78be3e96370065c93ee2cb0,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840,0xf3fef3a3,true,withdraw,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,5000000000,5000,usdt,Compound USDT,0x3Afdc9BCA9213A35503b077a6072F3D0d5AB0840,1,Withdraw:USDT:5000,https://etherscan.io/tx/0xd00f1e1b4f5f3670408e80ffca7fd0b09dcfff59a78be3e96370065c93ee2cb0
mainnet,Ethereum Mainnet,1,false,2026-03-07T09:21:35.000Z,24604647,0x4acd877b87b2dae32e266a37fa6b0609c24dfb63,true,0xd6edfd55ffb5526519b4a67633b17eaa442631d48038e1315d6e4715f25437fd,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840,0xf3fef3a3,true,withdraw,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,1000000000,1000,usdt,Compound USDT,0x3Afdc9BCA9213A35503b077a6072F3D0d5AB0840,1,Withdraw:USDT:1000,https://etherscan.io/tx/0xd6edfd55ffb5526519b4a67633b17eaa442631d48038e1315d6e4715f25437fd
